fecha_transaccion,encrypt_rut,comuna,marca,detalle,brand_origin,retail,precio_de_lista_synt,margen_retail,margin_pct,loss_making,price_band,year,month,quarter
2021-05-20,d022defa477e571dd06fe32094326f4a79f8e5dce4864c6d91e44e575644c08a,PROVIDENCIA,Mazda,NEW CX-5 R 2.0 AWD 6AT,Incumbent,propio,17616588.535355277,719304.5,0.040831089319955764,0,Premium,2021,5,2
2016-10-18,da72ab257dd4b67d23e4273e213d5f4ada7feb3df9f493f2655dd3eb78719722,LINARES,Changan,M201 PASAJEROS A/C,Chinese,ces,5386076.861349261,200743.765625,0.03727086909315139,0,Economy,2016,10,4
2020-01-30,b5166791d004fef47652a79054e3d81d0ec30f26bdf1de1c338f3f59d0388bc9,LA FLORIDA,Great Wall,"H6 1,5T LUXURY",Chinese,propio,7882395.455302026,471802.75,0.059855249926930004,0,Mid,2020,1,1
2021-02-25,1aab4de855617a483df527e107a880844f85fffa107463bfbb6f41c5042d07c9,VALPARAISO,Changan,CX70 ELITE PLUS TURBO AT,Chinese,ces,10917102.920199243,661656.6875,0.06060735090037279,0,Premium,2021,2,1
2018-06-08,15ec81121b5f0d95ea6cc57c59cc83232ce0a1a72958058d7223af8d80f77e85,BUIN,JAC Cars,S2 CE COMFORT 1.5 MT,Chinese,ces,5145851.559665216,256785.5625,0.049901471024303354,0,Economy,2018,6,2
2020-10-15,c1c271a29ab4f1b092e6bbe70e8e2b20d2f98cadca68c4b119f43775cb9da829,PENAFLOR,Mazda,ALL NEW MAZDA3 SDN V 2.0 7G 6AT,Incumbent,propio,13661158.561254168,734808.375,0.05378814481255392,0,Premium,2020,10,4
2016-04-30,a35f50cb6889d628cdd4076501b067108a8e8e4ecf0b21e164d379bb0190e4c2,CURICO,Geely,GC7 1.5 GL,Chinese,ces,5263873.0514469845,31214.560546875,0.005929960742175277,0,Economy,2016,4,2
2022-03-11,72e9089e331d1b9f112f90586c9809e22db0ebb4830cabad9d8511a6275cc708,LA FLORIDA,Haval,HAVAL H6 3GEN 2.0T AT 2WD DELUXE,Chinese,propio,15434189.564036552,-1216535.25,-0.07882080526175912,1,Premium,2022,3,1
2013-12-27,2505550fbc730c954cac8aa10af06bb9c5e8570f16cc5b3f37e8bceac1b093d7,LA REINA,Mazda,MAZDA3 SEDAN 1.6L V AT,Incumbent,ces,10004250.667074868,758991.5,0.07586690150596963,0,Premium,2013,12,4
2021-11-18,8ad089b9272a59ee8de43614fa6a9e3c2b5dc0db838a37957184fd8b69ee6e57,MAIPU,JAC Cars,JS4 1.5 LUXURY,Chinese,propio,10522046.00128728,859831.9375,0.08171718099263273,0,Premium,2021,11,4
2019-08-24,c097778bf7d09ec34676a272722784104a789f17e68281b44408c4a9e270e1ce,RENCA,Suzuki,CELERIO 1.0 GLX BT,Incumbent,propio,4478252.418091531,234762.203125,0.052422726815619554,0,Economy,2019,8,3
2011-01-25,23cd5aee35325012b4a151bcdc133fe97b1b2331e3cac0f316d88043f374e3c3,MAIPU,Mazda,CX-7 2.5L RI 2WD AT,Incumbent,propio,13347752.839230752,526515.375,0.03944599374454283,0,Premium,2011,1,1
2018-02-02,39d52bbea94665e8310f235bc5d1a477e00c8c116257b6847b577dce5dc6ac34,PROVIDENCIA,Mazda,NEW CX-3 R 2.0L AWD 6MT,Incumbent,propio,12166181.79126493,638235.5,0.052459802997374246,0,Premium,2018,2,1
2021-12-09,e39ddcd067527a30ab24d6bb952b27aaa122f14c65fd1a78aa979a2da057bb77,CALERA DE TANGO,Great Wall,WINGLE 5 G 2.2 4X2 ELITE,Chinese,propio,8235879.369886172,727200.0,0.0882965822276305,0,Mid,2021,12,4
